Review,Liked,Processed_Review
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,high hope place sinc burger cook charcoal grill unfortun tast fell flat way flat
I could eat their bruschetta all day it is devine.,1,could eat bruschetta day devin
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,not singl employe came see ok even need water refil final serv us food
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,lastli mozzarella stick best thing order
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,first time ever came amaz experi still tell peopl awesom duck
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,server neglig need made us feel unwelcom would not suggest place
The service was terrible though.,0,servic terribl though
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,place overpr not consist boba realli overpr
It was packed!!,0,pack
I love this place.,1,love place
I can say that the desserts were yummy.,1,say dessert yummi
The food was terrible.,0,food terribl
The seasonal fruit was fresh white peach puree.,1,season fruit fresh white peach pure
It kept getting worse and worse so now I'm officially done.,0,kept get wors wors offici done
This place should honestly be blown up.,0,place honestli blown
But I definitely would not eat here again.,0,definit would not eat
Do not waste your money here!,0,not wast money
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,love put food nice plastic contain oppos cram littl paper takeout box
The crêpe was delicate and thin and moist.,1,cr pe delic thin moist
Awful service.,0,aw servic
Won't ever go here again.,0,ever go
Food quality has been horrible.,0,food qualiti horribl
For that price I can think of a few place I would have much rather gone.,0,price think place would much rather gone
The service here is fair at best.,0,servic fair best
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,love sushi found kabuki price hip servic
Do yourself a favor and stay away from this dish.,0,favor stay away dish
Very poor service.,0,poor servic
No one at the table thought the food was above average or worth the wait that we had for it.,0,one tabl thought food averag worth wait
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,best servic food ever maria server good friendli made day
They were excellent.,1,excel
I paid the bill but did not tip because I felt the server did a terrible job.,0,paid bill not tip felt server terribl job
Just had lunch here and had a great experience.,1,lunch great experi
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,never bland food surpris consid articl read focus much spice flavor
Food is way overpriced and portions are fucking small.,0,food way overpr portion fuck small
I recently tried Caballero's and I have been back every week since!,1,recent tri caballero back everi week sinc
"for 40 bucks a head, i really expect better food.",0,buck head realli expect better food
The food came out at a good pace.,1,food came good pace
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,ate twice last visit especi enjoy salmon salad
I won't be back.,0,back
We could not believe how dirty the oysters were!,0,could not believ dirti oyster
This place deserves no stars.,0,place deserv star
I would not recommend this place.,0,would not recommend place
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,fact go round star awesom
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,disbelief dish qualifi worst version food ever tast
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,bad day not low toler rude custom servic peopl job nice polit wash dish otherwis
the potatoes were great and so was the biscuit.,1,potato great biscuit
I probably would not go here again.,0,probabl would not go
So flavorful and has just the perfect amount of heat.,1,flavor perfect amount heat
The price is reasonable and the service is great.,1,price reason servic great
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,wife hate meal coconut shrimp friend realli not enjoy meal either
My fella got the huevos rancheros and they didn't look too appealing.,0,fella got huevo ranchero look appeal
"Went in for happy hour, great list of wines.",1,went happi hour great list wine
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,may say buffet pricey think get pay place get quit lot
I probably won't be coming back here.,0,probabl come back
Worst food/service I've had in a while.,0,worst food servic
"This place is pretty good, nice little vibe in the restaurant.",1,place pretti good nice littl vibe restaur
Talk about great customer service of course we will be back.,1,talk great custom servic cours back
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,hot dish not hot cold dish close room temp watch staff prepar food bare hand glove everyth deep fri oil
I love their fries and their beans.,1,love fri bean
Always a pleasure dealing with him.,1,alway pleasur deal
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,plethora salad sandwich everyth tri get seal approv
This place is awesome if you want something light and healthy during the summer.,1,place awesom want someth light healthi summer
"For sushi on the Strip, this is the place to go.",1,sushi strip place go
"The service was great, even the manager came and helped with our table.",1,servic great even manag came help tabl
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,feel dine room colleg cook cours high class dine servic slow best
"I started this review with two stars, but I'm editing it to give it only one.",0,start review two star edit give one
this is the worst sushi i have ever eat besides Costco's.,0,worst sushi ever eat besid costco
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,excel restaur highlight great servic uniqu menu beauti set
My boyfriend and i sat at the bar and had a completely delightful experience.,1,boyfriend sat bar complet delight experi
Weird vibe from owners.,0,weird vibe owner
There was hardly any meat.,0,hardli meat
I've had better bagels from the grocery store.,0,better bagel groceri store
Go To Place for Gyros.,1,go place gyro
"I love the owner/chef, his one authentic Japanese cool dude!",1,love owner chef one authent japanes cool dude
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,burger good pizza use amaz doughi flavorless
I found a six inch long piece of wire in my salsa.,0,found six inch long piec wire salsa
"The service was terrible, food was mediocre.",0,servic terribl food mediocr
We definately enjoyed ourselves.,1,defin enjoy
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,order albondiga soup warm tast like tomato soup frozen meatbal
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,three differ occas ask well done medium well three time got bloodiest piec meat plate
I had about two bites and refused to eat anymore.,0,two bite refus eat anymor
The service was extremely slow.,0,servic extrem slow
"After 20 minutes wait, I got a table.",0,minut wait got tabl
Seriously killer hot chai latte.,1,serious killer hot chai latt
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,allergi warn menu waitress absolut clue meal not contain peanut
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,boyfriend tri mediterranean chicken salad fell love
Their rotating beers on tap is also a highlight of this place.,1,rotat beer tap also highlight place
Pricing is a bit of a concern at Mellow Mushroom.,0,price bit concern mellow mushroom
Worst Thai ever.,0,worst thai ever
If you stay in Vegas you must get breakfast here at least once.,1,stay vega must get breakfast least
I want to first say our server was great and we had perfect service.,1,want first say server great perfect servic
The pizza selections are good.,1,pizza select good
"I had strawberry tea, which was good.",1,strawberri tea good
Highly unprofessional and rude to a loyal patron!,0,highli unprofession rude loyal patron
"Overall, a great experience.",1,overal great experi
